Source_ID,Target_ID,Source_Name,Target_Name,Source_FullName,Target_FullName,time,Type,Weight
1,664,J. Wu,J. Young,Jiaqian Wu,Jordan Young,01/01/2004,Undirected,1
1,1076,J. Wu,K. Hess,Jiaqian Wu,Karl   Hess,03/04/2009,Undirected,1
1,1172,J. Wu,K. Johnson,Jiaqian Wu,Kiera Johnson,03/04/2009,Undirected,1
2,1,C. Kim,J. Wu,Chul Kim,Jiaqian Wu,01/01/2020,Undirected,2
2,219,C. Kim,J. Yu,Chul Kim,Jonathan Yu,01/01/2011,Undirected,1
2,438,C. Kim,J. Cao,Chul Kim,Judy Cao,01/01/2022,Undirected,1
2,439,C. Kim,T. Huynh,Chul Kim,Tri Huynh,01/01/2022,Undirected,1
2,440,C. Kim,V. Valdez,Chul Kim,Vera Valdez,01/01/2022,Undirected,1
2,1069,C. Kim,J. M. Labovitz,Chul Kim,Jonathan M Labovitz,01/01/2011,Undirected,1
3,3,Y. J. Kim,Y. J. Kim,Young Joo Kim,Young Joo Kim,01/01/2020,Undirected,1
3,48,Y. J. Kim,Y. Wang,Young Joo Kim,Yubin   Wang,01/01/2024,Undirected,1
3,489,Y. J. Kim,Z. Li,Young Joo Kim,Zhongqi Li,01/01/2024,Undirected,1
4,3,D. Han,Y. J. Kim,Danny Han,Young Joo Kim,01/01/2019,Undirected,2
4,3,D. Han,Y. J. Kim,Danny Han,Young Joo Kim,01/01/2020,Undirected,1
4,37,D. Han,J. Wang,Danny Han,Joe Wang,07/27/2024,Undirected,1
4,57,D. Han,Q. Q. Li,Danny Han,Qingshun Quinn Li,07/27/2024,Undirected,1
4,156,D. Han,J. Huang,Danny Han,Jia Huang,07/27/2024,Undirected,1
4,157,D. Han,J. Lai,Danny Han,Jessica Lai,07/27/2024,Undirected,1
5,4,A. Gupta,D. Han,Anushree Gupta,Danny Han,01/01/2022,Undirected,1
5,4,A. Gupta,D. Han,Anushree Gupta,Danny Han,11/12/2024,Undirected,1
5,740,A. Gupta,M. Raad,Anushree Gupta,Michele Raad,07/26/2022,Undirected,1
5,937,A. Gupta,N. Manavi,Anushree Gupta,Nima Manavi,12/05/2024,Undirected,1
5,1426,A. Gupta,B. Tran,Anushree Gupta,Bao Cong Tran,07/26/2022,Undirected,1
6,6,J. M. Norian,J. M. Norian,John M. Norian,John M. Norian,01/01/2020,Undirected,1
6,7,J. M. Norian,J. Nelson,John M. Norian,J. Michael Nelson,01/01/2020,Undirected,4
6,8,J. M. Norian,T. Tan,John M. Norian,Tiffany Tan,01/01/2020,Undirected,4
7,7,J. Nelson,J. Nelson,J. Michael Nelson,J. Michael Nelson,01/01/2020,Undirected,1
7,7,J. Nelson,J. Nelson,J. Michael Nelson,J. Michael Nelson,01/01/2022,Undirected,1
7,8,J. Nelson,T. Tan,J. Michael Nelson,Tiffany Tan,01/01/2020,Undirected,4
7,638,J. Nelson,K. Diehl,J. Michael Nelson,Kyra Diehl,01/01/2024,Undirected,1
8,8,T. Tan,T. Tan,Tiffany Tan,Tiffany Tan,01/01/2020,Undirected,1
9,102,S. Patel,V. Venketaraman,Saloni Patel,Vishwanath Venketaraman,01/01/2023,Undirected,1
9,193,S. Patel,X. Zhao,Saloni Patel,Xingyu Zhao,01/01/2015,Undirected,1
9,315,S. Patel,Z. Wang,Saloni Patel,Zhijun(Kevin) Wang,01/01/2015,Undirected,2
9,464,S. Patel,X. Liu,Saloni Patel,Xiangrong Liu,01/01/2015,Undirected,1
9,489,S. Patel,Z. Li,Saloni Patel,Zhongqi Li,01/01/2015,Undirected,1
9,552,S. Patel,S. Singh,Saloni Patel,Sunjum Singh,01/01/2015,Undirected,2
9,578,S. Patel,S. Tang,Saloni Patel,Sofia Tang,01/01/2015,Undirected,1
9,1056,S. Patel,T. Moore,Saloni Patel,Timothy Moore,01/01/2015,Undirected,1
9,1191,S. Patel,S. Wu,Saloni Patel,Sarah Wu,01/01/2015,Undirected,1
9,1285,S. Patel,T. Y. Morishita,Saloni Patel,Teresa Y Morishita,01/01/2015,Undirected,1
9,1389,S. Patel,S. Thomas,Saloni Patel,Silas Thomas,01/01/2015,Undirected,1
9,1400,S. Patel,V. Thomas,Saloni Patel,Violet Thomas,01/01/2015,Undirected,1
9,1405,S. Patel,V. Kumar,Saloni Patel,Vikram Kumar,01/01/2015,Undirected,1
9,1458,S. Patel,S. Stewart,Saloni Patel,Samuel Stewart,01/01/2015,Undirected,1
9,1460,S. Patel,V. Amin,Saloni Patel,Vidhi Amin,01/01/2015,Undirected,1
10,10,H. M. Nguyen,H. M. Nguyen,Hieu T M. Nguyen,Hieu T M. Nguyen,05/07/2021,Undirected,1
10,186,H. M. Nguyen,Q. A. Le,Hieu T M. Nguyen,Quang A Le,05/07/2021,Undirected,4
10,497,H. M. Nguyen,H. Nguyen,Hieu T M. Nguyen,Hong Nguyen,01/01/2024,Undirected,1
10,717,H. M. Nguyen,J. Leo,Hieu T M. Nguyen,Jonathan   Leo,01/01/2019,Undirected,1
10,717,H. M. Nguyen,J. Leo,Hieu T M. Nguyen,Jonathan   Leo,07/06/2014,Undirected,1
10,1029,H. M. Nguyen,J. H. Kang,Hieu T M. Nguyen,Jenny H Kang,01/20/2023,Undirected,1
10,1048,H. M. Nguyen,K. Ma,Hieu T M. Nguyen,Kelvin Ma,01/01/2010,Undirected,1
10,1436,H. M. Nguyen,J. Zhu,Hieu T M. Nguyen,Juanqi (Nikki) Zhu,01/01/2015,Undirected,1
12,9,F. G. Thankam,S. Patel,Finosh G. Thankam,Saloni Patel,01/01/2015,Undirected,1
12,11,F. G. Thankam,T. Wood,Finosh G. Thankam,Timothy Wood,05/07/2021,Undirected,1
12,12,F. G. Thankam,F. G. Thankam,Finosh G. Thankam,Finosh G. Thankam,01/01/2020,Undirected,1
12,12,F. G. Thankam,F. G. Thankam,Finosh G. Thankam,Finosh G. Thankam,01/01/2022,Undirected,1
