Author,id,College,Status
J. Wu,Jiaqian Wu,COMP,Student
C. Kim,Chul Kim,CPM,Faculty
Y. J. Kim,Young Joo Kim,CVM,Faculty
D. Han,Danny Han,COP,Student
A. Gupta,Anushree Gupta,COMP,Faculty
J. M. Norian,John M. Norian,COMP,Faculty
J. Nelson,J. Michael Nelson,COMP,Faculty
T. Tan,Tiffany Tan,COMP,Student
S. Patel,Saloni Patel,COP,Student
H. M. Nguyen,Hieu T M. Nguyen,COMP,Faculty
T. Wood,Timothy Wood,CHS,Faculty
F. G. Thankam,Finosh G. Thankam,COMP,Faculty
J. G. Ayoub,Joelle G. Ayoub,COP,Faculty
M. M. R. Ahmed,Mohamed   Radwan Ahmed,COMP,Faculty
D. R. Wilson,Daniel R. Wilson,COMP,Faculty
R. Moellmer,Rebecca Moellmer,CPM,Faculty
E. Rega,Elizabeth Rega,COMP,Faculty
S. S. Sumida,Stuart S. Sumida,COMP,Faculty
J. Tam,Janelle Tam,CDM,Student
D. Shofler,David Shofler,CPM,Faculty
C. Liu,Chunming Liu,CO,Faculty
D. Lee,David Lee,COMP,Faculty
J. Lee,Jongmi Lee,COP,Faculty
D. J. Sanchez,David Jesse Sanchez,COP,Faculty
H. Singh,Hitasha Singh,COMP,Faculty
J. Huynh,Jasmine Huynh,COP,Student
W. Fang,William Fang,CDM,Student
E. A. Rega,Elizabeth A. Rega,COMP,Faculty
A. Lee,Alexander Lee,CDM,Faculty
C. Diaz,Cindy Diaz,CO,Student
E. Hoppe,Elizabeth Hoppe,CO,Faculty
I. Chung,Ida Chung,CO,Faculty
D. J. Cameron,D. Joshua Cameron,CO,Faculty
N. K. Yadav,Naveen Kumar Yadav,CO,Faculty
C. S. Boosani,Chandra Shekhar Boosani,COMP,Faculty
A. Pumerantz,Andrew Pumerantz,COMP,Faculty
J. Wang,Joe Wang,CDM,Faculty
S. Agrawal,Suneil Agrawal,COMP,Faculty
M. Nguyen,My Van Nguyen,COMP,Faculty
R. Kuan,Rebecca Kuan,COMP,Student
M. Liu,Michelle Liu,CHS,Student
S. M. Farahfranco,Sandra M Farah-Franco,CDM,Faculty
E. A. Andrews,Elizabeth Ann Andrews,CDM,Faculty
S. Rowan,Sean Rowan,CVM,Student
F. Dong,Fanglong Dong,GCBS,Faculty
E. Andrews,Elizabeth Andrews,CDM,Faculty
S. R. Shah,Samantha R. Shah,COMP,Faculty
Y. Wang,Yubin   Wang,CPM,Faculty
M. Baudry,Michel Baudry,GCBS,Faculty
H. Deoghare,Harshavardhan Deoghare,CHS,Faculty
C. C. White,Candice C.. White,CDM,Faculty
J. Tran,Jimmy Tran,CDM,Faculty
X. Bi,Xiaoning Bi,COMP,Faculty
M. Ly,Meisan Ly,CGN,Student
T. K. Boehm,Tobias K Boehm,CDM,Faculty
M. Yu,Minho Yu,COMP,Faculty
Q. Q. Li,Qingshun Quinn Li,GCBS,Faculty
D. Yang,David Yang,CO,Student
J. A. Elo,Jeffrey A Elo,CDM,Faculty
H. K. Chan,Hubert K. Chan,CDM,Faculty
B. S. Henson,Bradley S. Henson,CDM,Faculty
R. D. Stevenson,Robert D. Stevenson,CDM,Faculty
G. Pape,Gary Pape,CDM,Faculty
B. Benninger,Brion   Benninger,COMP,Faculty
A. Peterson,Amber Peterson,COMP,Student
T. Boehm,Tobias Boehm,CDM,Faculty
J. B. Lewis,Jack B. Lewis,CHS,Faculty
A. Tran,Andrew Tran,COP,Student
K. Vu,Katelyn Vu,COMP,Student
K. Lutfy,Kabirullah Lutfy,COP,Faculty
C. A. Nosrat,Christopher A Nosrat,CDM,Faculty
L. Oconnor,Lucian O'Connor,CDM,Faculty
A. E. D. Van,Anne E. Doan Van,CDM,Faculty
P. Simeteys,Paul Simeteys,CDM,Faculty
M. K. Watanabe,Marisa Kawata Watanabe,CDM,Faculty
E. Lee,Erin Lee,COP,Student
A. L. Lee,Alexander L Lee,CDM,Faculty
M. Covasa,Mihai Covasa,COMP,Faculty
J. M. Laudenbach,Joel M.. Laudenbach,CDM,Faculty
S. J. Aston,Sheree J. Aston,CO,Faculty
A. Lam,Annie Lam,COP,Student
K. Nguyen,Kelly Nguyen,COP,Student
B. Mcallister,Bennett McAllister,CO,Faculty
T. Harris,Tiffenie Harris,CO,Faculty
M. Neiberg,Maryke Neiberg,CO,Faculty
J. Lin,Jennifer Lin,COMP,Faculty
R. W. Hicks,Rodney W Hicks,CGN,Faculty
C. Li,Cameron Li,CVM,Student
M. Chan,Matthew Chan,COP,Student
A. D. Van,Anne E. Doan Van,CDM,Faculty
K. Hines,Kelli Hines,COMP,Faculty
B. P. Kraatz,Brian P Kraatz,COMP,Faculty
M. J. Wedel,Mathew J. Wedel,COMP,Faculty
D. Seleem,Dalia   Seleem,CDM,Faculty
A. Ha,Allyssa Ha,COMP,Student
S. Mirfarsi,Sahar   Mirfarsi,CDM,Faculty
K. Matsumuralem,Karen Matsumura-Lem,CDM,Faculty
S. A. Gold,Steven A Gold,CDM,Faculty
M. P. Fraix,Marcel P. Fraix,COMP,Faculty
A. Sathananthan,Airani Sathananthan,COMP,Faculty
J. K. Chan,James K. Chan,CHS,Faculty
V. Venketaraman,Vishwanath Venketaraman,COMP,Faculty
B. Diep,Bryant Diep,CVM,Student
B. Fung,Brent Fung,CDM,Faculty
B. Chui,Brian Chui,CDM,Faculty
C. A. Goode,Christina Ann. Goode,GCBS,Faculty
M. Gutierrez,Marco Gutierrez,CHS,Student
N. Mohseni,Nazleen Mohseni,CVM,Student
M. Chang,Megan Chang,COMP,Student
H. Burger,Hannah Burger,CVM,Student
M. Peters,Mykah Peters,CVM,Student
E. Chen,Eugene Chen,CO,Student
I. Kang,Ilho Kang,COMP,Faculty
Y. Xiong,Yijia Xiong,COMP,Faculty
S. Chatterjee,Sudarshan Chatterjee,COMP,Faculty
E. Moore,Emily Moore,CHS,Student
J. Borke,James   Borke,CDM,Faculty
R. Desai,Raina Desai,COMP,Student
A. S. Pumerantz,Andrew S Pumerantz,COMP,Faculty
J. T. Hostetler,Josih T. Hostetler,CDM,Faculty
K. Lee,Kara Lee,COP,Student
J. Tegzes,John   Tegzes,CVM,Faculty
E. Katsaros,Emmanuel Katsaros,COMP,Faculty
L. Liggan,Lindsey Liggan,CHS,Faculty
C. Pham,Christine Pham,CO,Faculty
S. Chui,Sam   Chui,CDM,Faculty
Y. Peng,Yawen Peng,CDM,Faculty
S. Y. Kang,Shirley Y. Kang,CDM,Faculty
Y. Hong,Yiling Hong,CVM,Faculty
L. Chang,Lee-Wen Chang,CVM,Student
Z. Tumur,Zohra Tumur,CHS,Student
C. Parsa,Cyrus Parsa,COMP,Faculty
R. P. Kandpal,Raj P. Kandpal,COMP,Faculty
S. Standley,Steve   Standley,GCBS,Faculty
Y. Luo,Yun(Lyna) Luo,COP,Faculty
W. Wang,Weijie Wang,COMP,Student
S. W. Friedrichsen,Steven W. Friedrichsen,CDM,Faculty
H. M. Singh,Hardev M.. Singh,CDM,Faculty
P. G. Davey,Pinakin G. Davey,CO,Faculty
F. Rodriguezparis,Fernando Rodriguez-Paris,CDM,Faculty
N. Venugopal,Nithya   Venugopal,CDM,Faculty
D. E. Miulli,Daniel E. Miulli,CHS,Faculty
T. S. Martinez,Timothy S Martinez,CDM,Faculty
A. Luong,Amanda Luong,CVM,Student
N. Ali,Najia Ali,COMP,Student
R. Shah,Rahul Shah,COMP,Student
J. Lewis,Jill Lewis,CDM,Faculty
R. Hasel,Robert Hasel,CDM,Faculty
J. Ywom,James Ywom,CDM,Faculty
M. Singh,Menmeet Singh,CDM,Faculty
L. Tong,Lane Tong,COMP,Student
P. Kaur,Prabhleen Kaur,COMP,Student
B. Le,Brian Le,CO,Student
E. Kahng,Eunice Kahng,CVM,Student
M. Mir,Mohammad Mir,CVM,Faculty
J. Huang,Jia Huang,COMP,Student
J. Lai,Jessica Lai,COMP,Student
C. Yang,Chiana Yang,COMP,Student
A. Espinosa,Alexia Espinosa,CGN,Student
K. R. Boyer,Keith R Boyer,CDM,Faculty
B. S. Chui,Brian S Chui,CDM,Faculty
V. L. Wedel,Vicki L. Wedel,COMP,Faculty
M. Lee,Michelle Lee,COP,Faculty
L. Zhong,Li Zhong,COMP,Faculty
C. Gomez,Christian Gomez,COMP,Student
D. A. Lazarchik,David A Lazarchik,CDM,Faculty
D. Patel,Dhrupalkumar Patel,COP,Student
S. Hosseini,Sareh Hosseini,CPM,Student
J. S. Park,Jin S. Park,COMP,Faculty
C. Lee,Christopher Lee,COP,Student
Q. T. Edwards,Quannetta T. Edwards,CGN,Faculty
G. Orozco,Gwendelyn   Orozco,CGN,Faculty
R. Hicks,Rodney Hicks,CGN,Faculty
L. R. Ponsford,Lisa R Ponsford,CGN,Faculty
Q. H. Nguyen,Quynh-Nhu H.. Nguyen,COP,Faculty
M. A. Weaver,Michelle A Weaver,CGN,Faculty
D. Lithgow,Diana Lithgow,CGN,Faculty
R. J. Mays,R. Juanita Mays,CGN,Faculty
I. C. Tuason,Ivy C Tuason,CGN,Faculty
R. Trudgeon,Ruth   Trudgeon,CGN,Faculty
D. Stone,Dawn Stone,CGN,Faculty
J. Boller,Jan Boller,CGN,Faculty
M. Lopez,Mary Lopez,CGN,Faculty
P. Mccluskeyandre,PattI McCluskey-Andre,CGN,Faculty
M. Miller,Mykel Miller,COMP,Student
Q. A. Le,Quang A Le,COP,Faculty
K. J. Dang,"Khoa ""Joey"". Dang",CGN,Faculty
J. Chung,Joseph Chung,CHS,Student
W. Le,William Le,CHS,Student
A. Melendez,Alondra Melendez,CHS,Student
K. Tanaka,Kimi Tanaka,COMP,Student
L. Yu,Linyi Yu,CVM,Student
X. Zhao,Xingyu Zhao,CDM,Student
N. Patel,Neel Patel,COMP,Faculty
D. Emanuele,Donna Emanuele,CGN,Faculty
D. Schilling,Denise Schilling,CHS,Faculty
M. Sanchez,Michelle Sanchez,COMP,Faculty
C. A. Jackevicius,Cynthia A. Jackevicius,COP,Faculty
M. Kumar,Manisha Kumar,COMP,Student
N. Khan,Nadir   Khan,COMP,Faculty
C. L. Crawford,Carol L. Crawford,COP,Faculty
N. Singh,Nicole Singh,CVM,Student
S. Chow,Sheryl Chow,COP,Faculty
W. M. Swanson,Wendi M Swanson,CGN,Faculty
M. Alatrash,Manal Alatrash,CGN,Faculty
B. Brownell,Beverly   Brownell,CGN,Faculty
M. Marinello,Michael Marinello,CGN,Student
J. Hernandez,Jennifer Hernandez,CVM,Student
T. Escobedo,Tina Escobedo,CGN,Faculty
L. Roberts,Laura Roberts,COMP,Student
A. V. Law,Anandi V. Law,COP,Faculty
D. M. Selkowitz,David M. Selkowitz,CHS,Faculty
M. M. Neeki,Michael M.. Neeki,COMP,Faculty
D. Wong,Donna Wong,COMP,Faculty
J. I. Kailes,June Isaacson. Kailes,CHS,Faculty
S. Stuckey,Sandra   Stuckey,CHS,Faculty
D. Berger,David Berger,COMP,Faculty
J. Zhang,Jingwen Zhang,CDM,Student
J. Yu,Jonathan Yu,CHS,Student
K. Roback,Karin Roback,CHS,Faculty
S. Feng,Stanley Feng,COMP,Student
T. Le,Tram Le,COP,Student
L. Podesta,Luga Podesta,COMP,Faculty
J. Kim,Joseph Kim,CHS,Faculty
T. Mosconi,Tony   Mosconi,CHS,Faculty
C. Chaney,Casey Chaney,CHS,Faculty
S. Kamath,Sylvia   Kamath,COMP,Faculty
D. Redmanbentley,Donna   Redman-Bentley,CHS,Faculty
D. C. Armstrong,Dayle C. Armstrong,CHS,Faculty
G. Swanson,Gretchen Swanson,CHS,Faculty
L. Carrothers,LeeAnn Carrothers,CHS,Faculty
M. Hudsonmckinney,Mary Hudson-McKinney,CHS,Faculty
J. Davis,Jeannie Davis,COMP,Faculty
G. Vlad,Georgeanne   Vlad,CHS,Faculty
G. M. Hirayama,Grant M Hirayama,CHS,Faculty
R. Wolfe,Rachael Wolfe,COMP,Student
A. Robinson,Amber Robinson,CGN,Student
J. Gordon,Joseph Gordon,COMP,Faculty
J. C. Wang,Jenny C. Wang,COMP,Faculty
R. L. Bravo,Rosana L Bravo,CHS,Faculty
T. Meyer,Tina Meyer,CHS,Faculty
M. Lundberg,Mika Lundberg,COMP,Student
L. K. Truong,Long K. Truong,CPM,Faculty
